Index,Inspection_Date,Sale_Date,Sale_Price,Location,Classification,Architectural_Style,Year_Built,Bedrooms,Baths,Square_Feet,Count,Price_per_SF
457,2014-12-25,2015-01-29,39000,RIFLE,Condo,CONDO,1981,2,1,713,1,54.698457223001405
458,2016-04-01,2016-05-06,57500,RIFLE,Condo,CONDO,1981,2,1,713,1,80.64516129032258
459,2014-10-27,2014-12-01,57000,RIFLE,Townhome,ONE STORY W/ BSMT,1970,3,1.5,895,1,63.687150837988824
460,2014-10-27,2014-12-01,57000,RIFLE,Townhome,ONE STORY W/ BSMT,1970,3,1.5,895,1,63.687150837988824
461,2014-10-27,2014-12-01,62000,RIFLE,Townhome,ONE STORY W/ BSMT,1970,3,1.5,895,1,69.27374301675978
462,2015-10-26,2015-11-30,69000,RIFLE,Condo,CONDO,1981,2,1,1056,1,65.3409090909091
463,2016-04-04,2016-05-09,122000,RIFLE,Townhome,MANUFACTURED HUD,2001,3,2,1080,1,112.96296296296296
464,2016-02-03,2016-03-09,72800,RIFLE,Townhome,ONE STORY W/ BSMT,2003,2,1.75,1120,1,65
465,2016-05-26,2016-06-30,112000,RIFLE,Townhome,ONE STORY W/ BSMT,2003,2,1.75,1120,1,100
466,2016-03-02,2016-04-06,120000,RIFLE,Townhome,TWO STORY,1997,3,2,1125,1,106.66666666666667
467,2015-12-08,2016-01-12,85000,RIFLE,Townhome,ONE STORY,1982,2,2,1158,1,73.40241796200345
468,2015-05-27,2015-07-01,96800,RIFLE,Townhome,ONE STORY,1982,2,2,1158,1,83.59240069084629
469,2015-03-19,2015-04-23,114000,RIFLE,Townhome,TWO STORY,1982,2,1.5,1240,1,91.93548387096774
470,2015-07-16,2015-08-20,110000,RIFLE,Townhome,TWO STORY,1982,2,1.5,1240,1,88.70967741935483
471,2015-04-30,2015-06-04,102000,RIFLE,Townhome,TWO STORY,1999,2,1.5,1258,1,81.08108108108108
472,2015-04-24,2015-05-29,106000,RIFLE,Townhome,TWO STORY,1999,2,1.5,1258,1,84.26073131955485
473,2016-04-26,2016-05-31,145000,RIFLE,Townhome,TWO STORY,1997,3,1.5,1260,1,115.07936507936508
474,2015-05-01,2015-06-05,135000,RIFLE,Townhome,TWO STORY,1997,3,1.5,1260,1,107.14285714285714
475,2015-06-11,2015-07-16,95500,RIFLE,Townhome,TWO STORY,1980,2,1.5,1280,1,74.609375
476,2015-05-25,2015-06-29,110000,RIFLE,Condo,CONDO,1982,3,1.75,1296,1,84.87654320987654
477,2015-05-25,2015-06-29,98000,RIFLE,Condo,CONDO,1982,3,1.75,1296,1,75.61728395061728
478,2015-12-04,2016-01-08,143000,RIFLE,Townhome,TWO STORY,2001,3,2,1330,1,107.5187969924812
479,2015-03-26,2015-04-30,196500,RIFLE,Townhome,ONE STORY,2006,2,2,1330,1,147.74436090225564
480,2014-11-12,2014-12-17,121500,RIFLE,Townhome,TWO STORY,2007,3,2.5,1357,1,89.53574060427414
481,2015-05-21,2015-06-25,126000,RIFLE,Townhome,TWO STORY,2007,3,2.5,1357,1,92.85187914517317
482,2016-01-20,2016-02-24,140000,RIFLE,Townhome,TWO STORY,2007,3,2.5,1357,1,103.16875460574798
483,2016-01-20,2016-02-24,140000,RIFLE,Townhome,TWO STORY,2007,3,2.5,1357,1,103.16875460574798
484,2015-06-08,2015-07-13,145000,RIFLE,Townhome,TWO STORY,2007,3,2,1358,1,106.77466863033874
